Date;Open;High;Low;Close;Volume
18/04/2013 16:00:00;1,5239;1,5308;1,5213;1,5272;92812
19/04/2013 16:00:00;1,5276;1,5364;1,5218;1,522;107684
22/04/2013 16:00:00;1,5227;1,5289;1,5197;1,5287;76350
23/04/2013 16:00:00;1,5283;1,5293;1,5192;1,5235;101315
24/04/2013 16:00:00;1,5234;1,5283;1,5222;1,5262;67967
25/04/2013 16:00:00;1,5261;1,5477;1,5259;1,543;168804
26/04/2013 16:00:00;1,5428;1,5495;1,5414;1,5466;96438
29/04/2013 16:00:00;1,5475;1,5542;1,5472;1,5498;87482
30/04/2013 16:00:00;1,549;1,5564;1,5463;1,5527;99909
01/05/2013 16:00:00;1,5528;1,5603;1,5522;1,5559;93532
02/05/2013 16:00:00;1,5555;1,5587;1,5493;1,5532;101933
03/05/2013 16:00:00;1,553;1,5599;1,5475;1,5564;122018
06/05/2013 16:00:00;1,5563;1,5594;1,5517;1,554;46473
07/05/2013 16:00:00;1,5538;1,5549;1,5442;1,5483;86378
08/05/2013 16:00:00;1,5478;1,5589;1,5468;1,553;104284
09/05/2013 16:00:00;1,5534;1,5585;1,5422;1,5446;127141
10/05/2013 16:00:00;1,5446;1,5454;1,5309;1,5361;134749
13/05/2013 16:00:00;1,5355;1,5382;1,5272;1,5298;101919
14/05/2013 16:00:00;1,53;1,5327;1,5202;1,5205;128172
15/05/2013 16:00:00;1,5215;1,527;1,517;1,5231;157906
16/05/2013 16:00:00;1,5223;1,532;1,5194;1,5265;119136
17/05/2013 16:00:00;1,5271;1,5278;1,5154;1,5164;114934
20/05/2013 16:00:00;1,5184;1,5279;1,5164;1,5257;100439
21/05/2013 16:00:00;1,5258;1,5274;1,511;1,515;140102
22/05/2013 16:00:00;1,515;1,5171;1,5017;1,5046;178042
23/05/2013 16:00:00;1,5039;1,5127;1,5012;1,5103;134555
24/05/2013 16:00:00;1,5103;1,5141;1,5062;1,5117;98789
27/05/2013 16:00:00;1,5122;1,5155;1,5084;1,5102;20400
28/05/2013 16:00:00;1,5106;1,5133;1,5024;1,5039;112189
29/05/2013 16:00:00;1,5037;1,5145;1,5006;1,5126;130789
30/05/2013 16:00:00;1,5124;1,5236;1,5108;1,5228;131850
31/05/2013 16:00:00;1,523;1,5239;1,5138;1,5199;133897
